#	DMR_Hosts.txt
#
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#	Origional idea from Adrian Craig (M0GLJ)
#
#	Updated 23-06-2023
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. NO SPACES!!
#
#	Downloaded from http://www.pistar.uk/downloads/DMR_Hosts.txt
#
######################################################################################################
#
#				DMRGateway / Internal Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMRGateway			0000	127.0.0.1				none		62031
DMR2YSF				0000	127.0.0.2				none		62033
DMR2NXDN			0000	127.0.0.3				none		62035
######################################################################################################
#
#				BrandMeister Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
BM_2621_Germany			2621	2621.master.brandmeister.network	passw0rd	62031
BM_2622_Germany			2622	2622.master.brandmeister.network	passw0rd	62031
######################################################################################################
#
#				DMR+ IPSC2 Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMR+_IPSC2-DB0FEU		156533	80.152.206.180				PASSWORD	55555
DMR+_IPSC2-DL-HOTSPOT	328782	91.132.144.235				PASSWORD	55555
DMR+_IPSC2-DL-NORD		187697	176.10.105.252				PASSWORD	55555
DMR+_IPSC2-DMR-DL		335758	5.28.41.138					PASSWORD	55555
######################################################################################################
#
#				FreeDMR Network Germany, France DE/F Hosts Below for licenced free
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
FreeDMR_Digital			0000	freedmr.digital				passw0rd	62031
FreeDMR_Digital_1		0000	freedmr-germany.de			passw0rd	62031
FreeDMR_Digital_2		0000	freedmr.network				passw0rd	62031
FreeDMR_Digital_Ersatz	0000	161.97.132.248				passw0rd	62031
FreeDMR_Bayern			0000	dmr446.ddnss.de				passw0rd	62031
FreeDMR_France_F62		0000	serveur-f62dmr.fr			f62dmr  	55555
FreeDMR_Ireland			0000	unmsomci.myvnc.com			passw0rd	62031
######################################################################################################
